vazao,data_day
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,09/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.1250000000,08/10/17
0.0000000000,08/10/17
0.1428571429,08/10/17
0.1428571400,08/10/17
0.0869565217,08/10/17
0.0000000000,08/10/17
0.0714285714,08/10/17
0.1250000000,08/10/17
0.0000000000,08/10/17
0.1428571429,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.0000000000,08/10/17
0.1428571429,08/10/17
0.1739130435,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.0000000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1428571429,08/10/17
0.1250000000,08/10/17
0.1250000000,08/10/17
0.0000000000,08/10/17
0.1250000000,08/10/17
0.5714285714,08/10/17
0.1250000000,07/10/17
0.2000000000,07/10/17
0.1428571429,07/10/17
0.2500000000,07/10/17
0.1250000000,07/10/17
0.2142857143,07/10/17
0.2500000000,07/10/17
0.2500000000,07/10/17
0.3571428571,07/10/17
0.3913043478,07/10/17
0.4285714286,07/10/17
0.3750000000,07/10/17
0.4285714286,07/10/17
0.3750000000,07/10/17
0.5714285714,07/10/17
0.5000000000,07/10/17
0.8571428571,07/10/17
0.3750000000,07/10/17
0.8571428571,07/10/17
0.5000000000,07/10/17
0.5714285714,07/10/17
0.6250000000,07/10/17
0.7142857143,07/10/17
1.0000000000,07/10/17
0.5000000000,07/10/17
0.7142857143,07/10/17
0.8666666667,07/10/17
1.1428571429,07/10/17
1.1250000000,07/10/17
1.2857142857,07/10/17
0.8750000000,07/10/17
0.8750000000,07/10/17
1.4285714286,07/10/17
1.4285714300,07/10/17
1.1428571429,07/10/17
1.1250000000,07/10/17
1.7142857143,07/10/17
1.6250000000,07/10/17
2.0000000000,07/10/17
1.6250000000,07/10/17
2.2857142857,07/10/17
2.0000000000,07/10/17
3.5000000000,07/10/17
5.0000000000,07/10/17
4.8750000000,07/10/17
7.2857142857,07/10/17
9.0000000000,07/10/17
9.1250000000,07/10/17
15.7333333333,07/10/17
16.1250000000,07/10/17
19.5714285714,07/10/17
22.0000000000,07/10/17
20.5000000000,07/10/17
19.6250000000,07/10/17
23.0000000000,07/10/17
20.5000000000,07/10/17
24.7142857143,07/10/17
19.5000000000,07/10/17
19.7142857143,07/10/17
14.5000000000,07/10/17
5.2857142857,07/10/17
3.7500000000,07/10/17
4.2857142857,07/10/17
5.2500000000,07/10/17
6.1428571429,07/10/17
6.1250000000,07/10/17
9.0000000000,07/10/17
13.4000000000,07/10/17
17.0666666667,07/10/17
16.8750000000,07/10/17
20.8571428571,07/10/17
19.8750000000,07/10/17
21.5714285714,07/10/17
18.1333333333,07/10/17
6.7500000000,07/10/17
0.1818181818,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.0000000000,07/10/17
0.1250000000,07/10/17
0.0000000000,07/10/17
0.1250000000,07/10/17
0.1428571429,07/10/17
0.1250000000,07/10/17
0.2857142857,07/10/17
0.2500000000,07/10/17
0.7142857143,07/10/17
0.6250000000,07/10/17
0.2857142857,07/10/17
0.3750000000,07/10/17
0.2857142857,07/10/17
0.3750000000,07/10/17
0.4285714286,07/10/17
0.2857142857,07/10/17
0.3750000000,07/10/17
0.5454545455,07/10/17
0.3750000000,07/10/17
0.5714285714,07/10/17
0.5000000000,07/10/17
0.7142857143,07/10/17
0.6250000000,07/10/17
1.1428571429,07/10/17
1.1333333333,07/10/17
0.7500000000,07/10/17
1.0000000000,07/10/17
0.8750000000,07/10/17
1.4285714286,07/10/17
1.2000000000,07/10/17
1.1333333333,07/10/17
1.1250000000,07/10/17
1.5714285714,07/10/17
1.5714285700,07/10/17
1.5714285714,07/10/17
1.4666666667,07/10/17
1.5000000000,07/10/17
2.5714285714,07/10/17
2.8571428571,07/10/17
2.5000000000,07/10/17
2.7500000000,07/10/17
4.1428571429,07/10/17
4.2500000000,07/10/17
6.0000000000,07/10/17
5.8750000000,07/10/17
8.0000000000,07/10/17
14.6052631579,07/10/17
20.5714285714,07/10/17
18.5000000000,07/10/17
21.7142857143,07/10/17
19.2500000000,07/10/17
19.5714285714,07/10/17
10.7500000000,06/10/17
2.0000000000,06/10/17
0.5000000000,06/10/17
0.4285714286,06/10/17
0.4666666667,06/10/17
0.3750000000,06/10/17
0.5714285714,06/10/17
